tests/reject/bounded_task_elem.ty	TYPE	2632	unknown type 'Task'
tests/reject/builtin_arity_char_at.ty	TYPE	7070	'char_at' takes 2 argument(s), got 1
tests/reject/builtin_arity_niladic.ty	TYPE	7070	'clock' takes 0 argument(s), got 1
tests/reject/builtin_arity_too_few.ty	TYPE	7070	'substr' takes 3 argument(s), got 1
tests/reject/builtin_arity_too_many.ty	TYPE	6842	len(...) takes one argument
tests/reject/builtin_arity_zero_args.ty	TYPE	6940	pop(arr) takes one argument
tests/reject/chan_capture.ty	SEMANTIC	5937	a closure cannot capture a channel handle -- take it as a parameter instead
tests/reject/chan_in_container.ty	SEMANTIC	6714	a channel must be created directly in a declaration: ch := channel(T, cap)
tests/reject/chan_inout_param.ty	SEMANTIC	4311	'ch' is inout, which an affine type cannot be -- it has one owner and is freed at that scope's exit, so there is nothing to consume or copy back. Pass it plainly: that is already a borrow
tests/reject/chan_reassign.ty	SEMANTIC	8398	a channel variable cannot be reassigned
tests/reject/char_as_type.ty	TYPE	2632	unknown type 'char'
tests/reject/char_at_arg_index_type.ty	TYPE	7126	argument 2 of 'char_at' is string, expected int
tests/reject/char_at_arg_recv_type.ty	TYPE	7113	argument 1 of 'char_at' is int, expected string -- wrap it with str(...), e.g. char_at(str(x))
tests/reject/char_elem_div.ty	TYPE	7355	`/` is not defined element-wise on [char] -- there is no element-wise `/` for char
tests/reject/char_elem_mod.ty	TYPE	7355	`%` is not defined element-wise on [char] -- there is no element-wise `%` for char
tests/reject/char_elem_mul.ty	TYPE	7355	`*` is not defined element-wise on [char] -- there is no element-wise `*` for char
tests/reject/char_int_eq.ty	TYPE	7256	cannot compare char with int
tests/reject/char_int_mul.ty	TYPE	7463	arithmetic requires two ints or two floats (got char, int) -- convert one side, e.g. to_float(x) to compute in floats, or to_int(x) in ints
tests/reject/char_int_ord.ty	TYPE	7279	ordering compares two ints, two floats, two strings, or two values of the same numeric newtype
tests/reject/close_handle_nonvar.ty	SEMANTIC	6740	close(h) takes a handle variable
tests/reject/coerce_annot_narrow.ty	TYPE	8277	declared type int but value is float
tests/reject/coerce_arg_narrow.ty	TYPE	7126	argument 1 of 'g' is float, expected int
tests/reject/coerce_array_mixed.ty	TYPE	6132	array elements must all have the same type
tests/reject/coerce_return_narrow.ty	TYPE	8417	returning float but proc returns int
tests/reject/cond_elif_str.ty	TYPE	8434	if condition must be bool
tests/reject/cond_for_int.ty	TYPE	8648	for condition must be bool
tests/reject/cond_if_int.ty	TYPE	8434	if condition must be bool
tests/reject/cond_if_str.ty	TYPE	8434	if condition must be bool
tests/reject/cond_if_void.ty	TYPE	8434	if condition must be bool
tests/reject/cond_value_if_int.ty	TYPE	8434	if condition must be bool
tests/reject/const_dup.ty	NAME	4275	'MAX' is already defined
tests/reject/const_expr_divzero.ty	SYNTAX	5147	const expression divides by zero
tests/reject/const_expr_float.ty	SYNTAX	3754	a `const` must be a single scalar literal -- an int, float, string, bool or char. Arrays, maps and struct literals are not allowed, and neither is an expression
tests/reject/const_expr_localref.ty	SYNTAX	3754	a `const` must be a single scalar literal -- an int, float, string, bool or char. Arrays, maps and struct literals are not allowed, and neither is an expression
tests/reject/const_generic_size_conflict.ty	SEMANTIC	8960	argument 2 of 'g' is [4]int, which does not fit the parameter pattern
tests/reject/const_generic_size_dynamic_arg.ty	SEMANTIC	8960	argument 1 of 'f' is [int], which does not fit the parameter pattern
tests/reject/const_generic_size_return_only.ty	SEMANTIC	9016	the return type of 'mk' has a type parameter not fixed by any argument; pass it explicitly, e.g. mk$(int)
tests/reject/const_generic_size_struct_field.ty	SEMANTIC	9218	a struct field cannot be a `[$N]T` size-parameterized array -- use a fixed `[N]T` or a dynamic `[T]`
tests/reject/const_named_none.ty	NAME	4275	'None' is already defined
